NOME,ANO_INGRESSO_2021,FASE_2021,NIVEL_IDEAL_2021,PEDRA_2021,IAN_2021,IDA_2021,IEG_2021,IAA_2021,IPS_2021,IPP_2021,IPV_2021,INDE_2021,PONTO_VIRADA_2021,REC_AVA_UNIFICADO,DEFASAGEM_2021
ALUNO-845,2021.0,3.0,3,Ágata,10.0,4.5,4.4,8.8,4.4,6.0,4.9,5.683,0,Promovido de Fase,0.0
ALUNO-848,2019.0,2.0,3,Ágata,5.0,4.9,7.9,8.5,7.5,8.1,6.8,6.85,0,Mantido na Fase atual,-1.0
ALUNO-849,2020.0,2.0,2,Ametista,10.0,4.6,8.3,7.5,8.1,7.9,7.6,7.444,0,Promovido de Fase,0.0
ALUNO-850,2016.0,3.0,3,Ametista,10.0,6.6,7.5,9.2,7.5,8.1,9.3,8.151,1,Promovido de Fase + Bolsa,0.0
ALUNO-851,2019.0,1.0,2,Ametista,5.0,4.8,9.6,9.5,7.5,8.1,9.2,7.713,1,Mantido na Fase + Bolsa,-1.0
ALUNO-855,2020.0,2.0,4,Ágata,5.0,2.8,7.1,8.0,7.5,7.9,7.1,6.243,0,Mantido na Fase atual,-2.0
ALUNO-858,2019.0,2.0,2,Topázio,10.0,6.2,10.0,9.5,7.5,7.7,9.4,8.586,1,Mantido na Fase atual,0.0
ALUNO-860,2018.0,3.0,5,Ametista,5.0,7.2,5.0,8.8,7.5,8.3,8.4,7.069,0,Promovido de Fase,-2.0
ALUNO-861,2020.0,3.0,5,Ametista,5.0,7.7,8.3,9.2,7.5,7.7,7.9,7.724,0,Promovido de Fase,-2.0
ALUNO-862,2019.0,1.0,2,Ametista,5.0,6.5,9.6,9.0,7.5,8.1,9.1,7.99,1,Mantido na Fase atual,-1.0
ALUNO-865,2021.0,0.0,1,Topázio,5.0,7.3,10.0,9.5,7.5,8.1,9.7,8.396,1,Não avaliado,-1.0
ALUNO-866,2019.0,1.0,1,Topázio,10.0,8.4,10.0,8.5,7.5,7.7,9.0,8.846,1,Mantido na Fase atual,0.0
ALUNO-867,2021.0,1.0,3,Quartzo,5.0,1.7,2.1,0.0,8.1,6.9,6.7,4.088,0,Mantido na Fase atual,-2.0
ALUNO-868,2021.0,0.0,0,Ametista,10.0,7.0,8.3,9.0,7.5,7.8,7.9,8.081,0,Mantido na Fase atual,0.0
ALUNO-871,2021.0,0.0,2,Ágata,5.0,2.9,6.7,8.5,7.5,7.5,7.5,6.258,0,Não avaliado,-2.0
ALUNO-872,2017.0,3.0,3,Quartzo,10.0,2.9,2.2,6.7,5.0,5.2,3.7,4.451,0,Alocado em Fase anterior,0.0
ALUNO-873,2020.0,1.0,3,Ágata,5.0,1.5,5.8,10.0,7.5,7.9,6.8,5.864,0,Mantido na Fase atual,-2.0
ALUNO-874,2016.0,5.0,5,Ágata,10.0,2.7,6.7,7.1,6.9,7.2,6.1,6.192,0,Mantido na Fase atual,0.0
ALUNO-875,2021.0,0.0,2,Ametista,5.0,7.1,10.0,8.0,7.5,8.4,8.8,8.069,0,Mantido na Fase atual,-2.0
ALUNO-877,2019.0,2.0,3,Ágata,5.0,1.9,7.5,7.4,7.5,8.1,8.5,6.379,0,Mantido na Fase atual,-1.0
ALUNO-878,2021.0,0.0,1,Ametista,5.0,6.7,6.7,9.0,7.5,5.6,8.5,7.083,0,Não avaliado,-1.0
ALUNO-884,2021.0,5.0,7,Quartzo,5.0,2.1,3.9,7.9,0.0,7.5,6.4,4.511,0,Alocado em Fase anterior,-2.0
ALUNO-885,2021.0,1.0,1,Ametista,10.0,3.9,8.3,10.0,7.5,8.1,8.8,7.772,0,Mantido na Fase atual,0.0
ALUNO-886,2020.0,0.0,0,Topázio,10.0,7.1,10.0,9.5,7.5,7.8,8.3,8.544,0,Não avaliado,0.0
ALUNO-889,2019.0,2.0,3,Ametista,5.0,8.3,8.3,8.5,7.5,7.5,8.8,7.933,0,Promovido de Fase,-1.0
ALUNO-890,2018.0,3.0,3,Ágata,10.0,2.3,5.3,10.0,7.5,7.2,5.4,6.058,0,Não avaliado,0.0
ALUNO-892,2019.0,1.0,3,Ametista,5.0,6.9,9.6,7.0,5.6,8.3,7.6,7.411,0,Promovido de Fase,-2.0
ALUNO-897,,3.0,4,Quartzo,5.0,4.3,3.3,7.9,6.9,6.7,4.8,5.135,0,Mantido na Fase atual,-1.0
ALUNO-899,2019.0,2.0,2,Ametista,10.0,7.9,7.1,8.0,7.5,7.5,9.0,8.092,1,Mantido na Fase atual,0.0
ALUNO-900,2021.0,3.0,4,Ágata,5.0,5.4,5.6,7.9,7.5,7.3,4.4,5.835,0,Mantido na Fase atual,-1.0
ALUNO-902,2019.0,0.0,1,Ametista,5.0,5.4,10.0,8.5,7.5,7.8,6.6,7.273,0,Mantido na Fase atual,-1.0
ALUNO-903,2021.0,1.0,1,Topázio,10.0,8.3,10.0,9.0,7.5,8.1,9.7,9.069,1,Mantido na Fase + Bolsa,0.0
ALUNO-904,2020.0,4.0,4,Ametista,10.0,5.9,5.6,9.2,7.5,7.5,7.2,7.144,0,Promovido de Fase,0.0
ALUNO-905,2021.0,0.0,1,Ágata,5.0,3.5,5.8,9.5,7.5,7.5,6.6,6.133,0,Mantido na Fase atual,-1.0
ALUNO-906,2017.0,5.0,5,Topázio,10.0,6.8,9.2,9.6,7.5,7.7,9.9,8.632,1,Promovido de Fase + Bolsa,0.0
ALUNO-907,2020.0,2.0,2,Quartzo,10.0,3.1,3.8,0.0,7.5,7.3,7.6,5.364,0,Promovido de Fase,0.0
ALUNO-909,2019.0,2.0,3,Ágata,5.0,3.1,5.4,9.5,7.5,7.3,7.2,6.082,0,Mantido na Fase atual,-1.0
ALUNO-910,2016.0,6.0,7,Ágata,5.0,5.0,7.8,8.8,7.5,7.5,6.7,6.772,0,Promovido de Fase,-1.0
ALUNO-911,2019.0,4.0,6,Ágata,5.0,5.1,6.9,6.7,5.0,7.5,7.0,6.239,0,Mantido na Fase atual,-2.0
ALUNO-914,2021.0,2.0,3,Quartzo,5.0,4.6,2.9,0.0,7.5,7.7,7.7,5.061,0,Mantido na Fase atual,-1.0
ALUNO-916,2017.0,4.0,4,Topázio,10.0,7.8,9.7,8.3,7.5,9.2,9.3,8.866,1,Promovido de Fase + Bolsa,0.0
ALUNO-919,2020.0,6.0,6,Ágata,10.0,5.5,3.9,7.5,7.5,7.8,6.8,6.517,0,Promovido de Fase,0.0
ALUNO-922,2019.0,2.0,2,Ametista,10.0,5.6,6.7,8.5,6.3,8.5,8.5,7.475,0,Promovido de Fase,0.0
ALUNO-923,2020.0,0.0,1,Ágata,5.0,3.9,8.3,8.0,5.0,6.6,5.0,5.91,0,Mantido na Fase atual,-1.0
ALUNO-926,2018.0,2.0,3,Ametista,5.0,6.9,7.9,9.0,5.0,7.5,8.1,7.219,0,Promovido de Fase,-1.0
ALUNO-927,2020.0,1.0,2,Ametista,5.0,4.7,8.8,7.4,7.5,8.1,8.8,7.247,0,Mantido na Fase atual,-1.0
ALUNO-930,2019.0,5.0,6,Topázio,5.0,9.0,8.3,10.0,7.5,8.0,9.3,8.355,1,Promovido de Fase + Bolsa,-1.0
ALUNO-931,2019.0,1.0,2,Ametista,5.0,6.6,9.6,8.5,6.9,8.3,8.2,7.757,0,Promovido de Fase,-1.0
ALUNO-932,2017.0,3.0,3,Ametista,10.0,6.4,5.8,10.0,7.5,7.1,6.9,7.289,0,Promovido de Fase,0.0
ALUNO-937,2021.0,2.0,2,Topázio,10.0,8.3,8.3,10.0,7.5,8.1,8.4,8.581,0,Promovido de Fase,0.0
ALUNO-938,2016.0,3.0,4,Ágata,5.0,6.0,7.5,8.8,6.3,7.9,7.0,6.883,0,Promovido de Fase,-1.0
ALUNO-939,2021.0,3.0,4,Ágata,5.0,7.4,5.0,9.2,4.4,9.1,6.2,6.469,0,Mantido na Fase atual,-1.0
