NOME,ANO_INGRESSO_2020,FASE_2020,PEDRA_2020,IAN_2020,DESTAQUE_IDA_2020,IDA_2020,DESTAQUE_IEG_2020,IEG_2020,IAA_2020,IPS_2020,IPP_2020,DESTAQUE_IPV_2020,IPV_2020,INDE_2020,PONTO_VIRADA_2020
ALUNO-1067,2018,0,Ametista,5.0,1,9.5,1,10.0,8.500020000000001,7.5,8.125,0,7.5,8.312502,0
ALUNO-1070,2019,0,Ametista,5.0,1,9.5,1,10.0,8.500020000000001,7.5,5.0,0,5.66666,7.633334,0
ALUNO-1072,2020,3,Ametista,10.0,0,7.333333333333333,1,8.3,8.75001,7.5,8.749999999999998,1,7.833333333333334,8.193334333333334,0
ALUNO-1075,2016,4,Topázio,10.0,0,6.666666666666667,1,9.8,9.16668,10.0,8.749999999999998,1,8.55556,8.796113333333334,0
ALUNO-1077,2020,0,Ametista,10.0,1,7.5,1,10.0,9.50002,7.5,6.875,1,6.83333,8.254168,0
ALUNO-1078,2019,1,Ametista,5.0,1,10.0,1,8.0,7.416679999999999,6.875,7.083333333333334,0,7.833333333333333,7.804168000000001,0
ALUNO-1079,2019,1,Ágata,5.0,0,4.25,0,6.7,9.000020000000001,7.5,7.291666666666667,0,7.666666666666667,6.602502,0
ALUNO-1081,2017,5,Quartzo,5.0,0,4.0,0,6.7,8.33334,3.125,6.09375,0,4.2916675,5.2535425,0
ALUNO-1084,2019,0,Ametista,10.0,1,9.0,1,10.0,9.000020000000001,4.375,6.875,1,7.41667,8.308336,0
ALUNO-1085,2019,3,Ágata,5.0,0,3.333333333333333,0,5.5,9.16668,7.5,7.96875,0,7.375,6.205209666666667,0
ALUNO-1087,2018,2,Ametista,10.0,0,6.0,1,8.6,7.50002,7.5,7.708333333333334,1,7.222219999999999,7.635279333333334,0
ALUNO-1088,2018,5,Ágata,5.0,0,2.6666666666666665,0,4.8,8.75001,7.5,8.541666666666666,0,8.222223333333334,6.116945666666667,0
ALUNO-1089,2019,0,Topázio,5.0,1,8.5,1,10.0,9.50002,7.5,10.0,0,10.00001,8.900004,1
ALUNO-1090,2018,1,Ágata,5.0,1,8.0,0,4.6,7.00002,7.5,7.083333333333333,0,7.166663333333332,6.611668,0
ALUNO-1092,2019,6,Quartzo,10.0,0,2.0,0,4.9,0.0,7.5,7.96875,1,6.9166625,5.3102075,0
ALUNO-1093,2016,5,Ametista,5.0,0,5.333333333333333,1,9.1,9.16668,7.5,8.333333333333332,0,7.055553333333334,7.297778666666666,0
ALUNO-1094,2019,2,Ametista,5.0,1,8.5,1,9.3,9.000020000000001,7.5,7.8125,0,7.75,8.041252,0
ALUNO-1095,2019,0,Topázio,10.0,1,10.0,1,10.0,10.00002,7.5,7.5,1,8.083335,9.116669,0
ALUNO-1097,2017,3,Ametista,10.0,0,6.666666666666667,0,7.4,9.58335,7.5,7.96875,1,7.5,7.818543333333334,0
ALUNO-1100,2018,8,Topázio,10.0,1,8.9,1,10.0,9.16668,7.5,0.0,0,0.0,8.976668,0
ALUNO-1103,2016,2,Ágata,5.0,0,3.5,1,8.9,7.91668,4.375,4.6875,0,8.583335,6.394585,0
ALUNO-1105,2016,1,Ametista,5.0,1,7.5,1,9.4,7.50002,7.5,7.1875,0,7.75,7.648752,0
