NOME,FASE_2020,FASE_2021,FASE_2022,PEDRA_2020,PEDRA_2021,PEDRA_2022,PONTO_VIRADA_2020,PONTO_VIRADA_2021,PONTO_VIRADA_2022,ANO_INGRESSO_2020,ANO_INGRESSO_2021,ANO_INGRESSO_2022,IAN_2020,IAN_2021,IAN_2022,IDA_2020,IDA_2021,IDA_2022,IEG_2020,IEG_2021,IEG_2022,IAA_2020,IAA_2021,IAA_2022,IPS_2020,IPS_2021,IPS_2022,IPP_2020,IPP_2021,IPP_2022,IPV_2020,IPV_2021,IPV_2022,INDE_2020,INDE_2021,INDE_2022
ALUNO-86,6,,,Quartzo,,,0.0,,,2019.0,,,5.0,,,3.6666666666666665,,,4.9,,,8.33334,,,7.5,,,7.5,,,5.7083325,,,5.688333833333334,,
ALUNO-87,4,5.0,5.0,Ametista,Ametista,Ágata,1.0,0.0,0.0,2016.0,2016.0,2016.0,10.0,10.0,5.0,6.666666666666667,7.8,6.566666666666667,9.2,7.8,5.652169521654815,8.33334,7.9,9.16668,5.625,7.5,5.625,8.749999999999998,8.1,7.96875,8.722226666666666,7.7,7.1250025,8.188612666666666,8.004,6.644810737664296
ALUNO-88,2,2.0,3.0,Topázio,Ametista,Topázio,1.0,1.0,1.0,2018.0,2018.0,2018.0,10.0,5.0,10.0,9.5,7.4,6.877777777777777,9.4,9.6,9.11793372319688,10.00002,9.5,9.58335,7.5,6.3,5.625,5.9375,8.1,8.90625,9.58334,9.1,9.0833375,9.04042,8.096,8.427269800194932
ALUNO-89,0,,,Ametista,,,0.0,,,2019.0,,,5.0,,,7.5,,,10.0,,,10.00002,,,7.5,,,6.875,,,7.5,,,7.937502,,
ALUNO-90,3,4.0,5.0,Ágata,Ágata,Quartzo,0.0,0.0,0.0,2019.0,2019.0,2019.0,5.0,5.0,5.0,7.666666666666667,4.6,3.555555555555556,5.8,5.0,3.004807692307692,8.33334,7.1,5.833320000000001,7.5,7.5,7.5,7.96875,7.2,6.71875,7.5000025,7.0,6.888886666666665,7.073542833333333,5.994,5.195056982905983
ALUNO-91,2,2.0,2.0,Ágata,Quartzo,Ametista,0.0,0.0,0.0,2018.0,2018.0,2018.0,10.0,10.0,5.0,4.5,2.2,7.916666666666667,6.4,0.0,7.918575677196368,9.000020000000001,9.5,8.500020000000001,6.875,7.5,7.5,5.625,5.6,6.458333333333334,7.58333,2.5,7.500003333333334,6.846668,4.2,7.412884468772608
ALUNO-94,3,4.0,,Ágata,Ágata,,0.0,0.0,,2019.0,2021.0,,10.0,10.0,,4.0,4.6,,6.0,3.6,,7.08333,7.5,,7.5,7.5,,7.96875,7.3,,7.5000025,5.2,,6.7552085,5.923,
ALUNO-95,3,4.0,,Ametista,Quartzo,,0.0,0.0,,2019.0,2019.0,,5.0,5.0,,6.666666666666667,1.3,,8.2,5.6,,9.58335,8.3,,7.5,7.5,,7.96875,6.9,,6.791665,4.1,,7.336876333333333,4.957,
ALUNO-96,7,,,Ágata,,,1.0,,,2019.0,,,5.0,,,3.0,,,6.1,,,9.16668,,,6.875,,,7.5,,,8.791664999999998,,,6.432500999999999,,
ALUNO-97,2,2.0,3.0,Ametista,Ágata,Ametista,0.0,0.0,0.0,2018.0,2018.0,2018.0,5.0,5.0,10.0,6.0,5.8,7.0,8.0,5.8,8.467105263157894,9.50002,8.0,7.91667,7.5,7.5,7.5,8.4375,7.5,7.5,7.75,6.0,5.58333,7.393752,6.317,7.501754052631579
