NOME,FASE_2020,FASE_2021,FASE_2022,PEDRA_2020,PEDRA_2021,PEDRA_2022,PONTO_VIRADA_2020,PONTO_VIRADA_2021,PONTO_VIRADA_2022,ANO_INGRESSO,dimensao_academica,dimensao_psicossocial,dimensao_psicopedagogica,ATIVO
ALUNO-30,0.0,0.0,0.0,Ágata,Ágata,Topázio,0.0,0.0,0.0,2020.0,excelente,excelente,abaixo da media,1
ALUNO-33,3.0,3.0,3.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,0
ALUNO-34,2.0,2.0,3.0,Ametista,Ágata,Ágata,0.0,0.0,0.0,2018.0,abaixo da media,excelente,excelente,1
ALUNO-35,7.0,7.0,7.0,Ágata,Topázio,Topázio,0.0,1.0,1.0,2017.0,excelente,excelente,excelente,0
ALUNO-36,3.0,3.0,4.0,Ametista,Ágata,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-37,2.0,2.0,2.0,Ágata,Ágata,Ametista,0.0,0.0,0.0,2018.0,excelente,excelente,excelente,1
ALUNO-39,3.0,3.0,3.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2017.0,excelente,excelente,excelente,0
ALUNO-41,1.0,2.0,2.0,Ametista,Ágata,Ágata,0.0,0.0,0.0,2020.0,excelente,abaixo da media,excelente,0
ALUNO-43,4.0,4.0,4.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2018.0,excelente,excelente,excelente,0
ALUNO-44,1.0,1.0,1.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2020.0,abaixo da media,excelente,excelente,0
ALUNO-45,1.0,1.0,2.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2019.0,abaixo da media,excelente,excelente,1
ALUNO-46,0.0,0.0,1.0,Ágata,Topázio,Ametista,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,1
ALUNO-51,0.0,1.0,1.0,Topázio,Ametista,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-52,2.0,2.0,2.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2018.0,excelente,excelente,excelente,0
ALUNO-53,5.0,5.0,5.0,Topázio,Topázio,Topázio,0.0,0.0,0.0,2016.0,excelente,excelente,abaixo da media,0
ALUNO-55,6.0,7.0,7.0,Ágata,Ametista,Ametista,1.0,1.0,1.0,2017.0,excelente,excelente,excelente,0
ALUNO-57,6.0,7.0,7.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2018.0,excelente,excelente,excelente,0
ALUNO-59,3.0,3.0,3.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,0
ALUNO-60,5.0,6.0,7.0,Ametista,Ametista,Quartzo,0.0,0.0,0.0,2016.0,abaixo da media,excelente,excelente,1
ALUNO-61,1.0,1.0,2.0,Quartzo,Quartzo,Ágata,0.0,0.0,0.0,2020.0,abaixo da media,excelente,excelente,1
ALUNO-62,2.0,2.0,2.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2020.0,abaixo da media,excelente,excelente,0
ALUNO-68,1.0,1.0,1.0,Quartzo,Quartzo,Quartzo,0.0,0.0,0.0,2020.0,abaixo da media,excelente,excelente,0
ALUNO-71,0.0,0.0,0.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2019.0,excelente,excelente,abaixo da media,0
ALUNO-75,3.0,4.0,5.0,Topázio,Topázio,Topázio,1.0,1.0,1.0,2019.0,excelente,excelente,excelente,1
ALUNO-76,0.0,1.0,1.0,Topázio,Topázio,Topázio,0.0,1.0,0.0,2020.0,excelente,excelente,excelente,1
ALUNO-78,1.0,1.0,1.0,Ametista,Ágata,Ametista,0.0,0.0,0.0,2017.0,excelente,excelente,excelente,1
ALUNO-80,2.0,2.0,2.0,Ágata,Ágata,Ágata,0.0,0.0,0.0,2019.0,excelente,excelente,excelente,1
ALUNO-81,4.0,5.0,6.0,Ametista,Ágata,Ametista,1.0,0.0,1.0,2019.0,excelente,excelente,excelente,1
ALUNO-82,0.0,0.0,0.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,2020.0,excelente,excelente,excelente,0
ALUNO-83,4.0,5.0,5.0,Ametista,Ágata,Ametista,1.0,0.0,0.0,2016.0,excelente,excelente,excelente,1
ALUNO-84,0.0,1.0,1.0,Topázio,Ametista,Ametista,0.0,0.0,1.0,2020.0,excelente,excelente,excelente,1
ALUNO-85,0.0,0.0,1.0,Ágata,Ágata,Ametista,0.0,0.0,1.0,2019.0,excelente,excelente,abaixo da media,1
